Language;Group;Speaker;Grapheme;Task;File;Word;Plosion_index;VOT;Length;Gender;Burst
French;Monolinguals;202;b;PW;b__202_PW_bovel;bovel;9.694943486;60.589569;65.578231;M;
French;Monolinguals;202;b;PW;b__202_PW_boînion;boînion;15.09206321;102.426304;107.414966;M;
French;Monolinguals;202;b;PW;b__202_PW_bèpe;bèpe;6.291879025;111.972789;116.961451;M;
French;Monolinguals;202;b;PW;b__202_PW_béture;béture;9.733289666;96.621315;101.609977;M;
French;Monolinguals;202;b;reading;b__202_read_bague;bague;7.165365096;93.612799;101.54195;M;
French;Monolinguals;202;b;reading;b__202_read_balai;balai;8.941505802;79.501134;84.489796;M;
French;Monolinguals;202;b;reading;b__202_read_barrette;barrette;16.32290484;59.002268;63.99093;M;
French;Monolinguals;202;b;reading;b__202_read_beau;beau;7.653700491;97.257719;103.829187;M;
French;Monolinguals;202;b;reading;b__202_read_bec;bec;9.960034363;65.057528;394.288051;M;
French;Monolinguals;202;b;reading;b__202_read_benne;benne;16.48120404;122.229296;135.918516;M;
French;Monolinguals;202;b;reading;b__202_read_berceau;berceau;33.06286922;2.238338;10.514348;M;
French;Monolinguals;202;b;reading;b__202_read_berceuse;berceuse;14.94271078;73.446712;78.435374;M;
French;Monolinguals;202;b;reading;b__202_read_biche;biche;10.61546946;86.961451;91.950113;M;
French;Monolinguals;202;b;reading;b__202_read_bijou;bijou;7.025478514;64.421769;69.410431;M;
French;Monolinguals;202;b;reading;b__202_read_bille;bille;5.711908581;77.981859;82.970522;M;
French;Monolinguals;202;b;reading;b__202_read_bistrot;bistrot;13.05259663;57.278912;62.267574;M;
French;Monolinguals;202;b;reading;b__202_read_bitume;bitume;9.758412308;57.256236;62.244898;M;
French;Monolinguals;202;b;reading;b__202_read_bière;bière;4.844939254;110.460327;115.448989;M;
French;Monolinguals;202;b;reading;b__202_read_bocal;bocal;12.22234919;41.655329;46.643991;M;
French;Monolinguals;202;b;reading;b__202_read_bonnet;bonnet;15.1994513;94.693878;99.68254;M;
French;Monolinguals;202;b;reading;b__202_read_bossu;bossu;9.063828117;88.453203;93.441865;M;
French;Monolinguals;202;b;reading;b__202_read_bout;bout;15.20928167;117.029478;122.018141;M;
French;Monolinguals;202;b;reading;b__202_read_boîtier;boîtier;6.255968325;30.234592;36.848409;M;
French;Monolinguals;202;b;reading;b__202_read_béquille;béquille;8.694918237;41.572564;53.855367;M;
French;Monolinguals;202;v;naming;b__202_picnam_vaisseau;vaisseau;4.714492918;60.142071;81.538769;M;
French;Monolinguals;202;v;naming;b__202_picnam_valet;valet;3.724076499;79.225612;116.236118;M;
French;Monolinguals;202;v;naming;b__202_picnam_valise;valise;6.455665711;71.707854;103.513756;M;
French;Monolinguals;202;v;naming;b__202_picnam_vase;vase;6.745043486;41.636818;91.838414;M;
French;Monolinguals;202;v;naming;b__202_picnam_vautour;vautour;2.839077343;94.603175;115.624562;M;
French;Monolinguals;202;v;naming;b__202_picnam_veau;veau;4.279319385;155.759637;205.040361;M;
French;Monolinguals;202;v;naming;b__202_picnam_veilleuse;veilleuse;4.32098371;47.55102;86.642838;M;
French;Monolinguals;202;v;naming;b__202_picnam_ver;ver;4.162250797;104.580499;163.567993;M;
French;Monolinguals;202;v;naming;b__202_picnam_verrou;verrou;3.43710294;70.204082;115.01393;M;
French;Monolinguals;202;v;naming;b__202_picnam_veste;veste;12.50107588;57.250625;90.791395;M;
French;Monolinguals;202;v;naming;b__202_picnam_viande;viande;4.150101162;64.965986;69.954649;M;
French;Monolinguals;202;v;naming;b__202_picnam_vide;vide;11.14164697;74.421769;146.863026;M;
French;Monolinguals;202;v;naming;b__202_picnam_village;village;8.945975903;14.113017;37.822872;M;
French;Monolinguals;202;v;naming;b__202_picnam_ville;ville;5.90839404;84.217687;131.28862;M;
French;Monolinguals;202;v;naming;b__202_picnam_visage;visage;4.076147846;13.166856;42.302294;M;
French;Monolinguals;202;v;naming;b__202_picnam_vitrine;vitrine;3.251633699;45.776013;65.869419;M;
French;Monolinguals;202;v;naming;b__202_picnam_voiture;voiture;2.539387252;89.68254;94.671202;M;
French;Monolinguals;202;v;naming;b__202_picnam_volet;volet;3.403003071;80.929705;126.113232;M;
French;Monolinguals;202;v;naming;b__202_picnam_voleur;voleur;5.814024894;63.378685;123.850855;M;
French;Monolinguals;202;v;naming;b__202_picnam_voûte;voûte;3.745937999;95.443678;141.658511;M;
French;Monolinguals;202;v;PW;b__202_PW_vabin;vabin;8.205927043;116.553288;149.666492;M;
French;Monolinguals;202;v;PW;b__202_PW_vaident;vaident;3.184751317;56.261536;107.499721;M;
