;Unnamed: 0;Language;Group;Speaker;Grapheme;Task;File;Problem;Word;Plosive_Index;VOT;Length;Gender;Fricatived
207;207;French;Monolinguals;202;v;PW;b__202_PW_vianpe;;vianpe;3.032089358;113.968254;135.92327400000002;M;False
208;208;French;Monolinguals;202;v;PW;b__202_PW_viblite;;viblite;2.907127627;135.51020400000002;140.498866;M;False
209;209;French;Monolinguals;202;v;PW;b__202_PW_vije;;vije;7.185084175;112.154195;149.785618;M;False
210;210;French;Monolinguals;202;v;PW;b__202_PW_viloupe;;viloupe;5.699802649;147.09750599999995;212.845358;M;False
211;211;French;Monolinguals;202;v;PW;b__202_PW_vipe;;vipe;4.331031977;133.0839;150.06403200000003;M;False
212;212;French;Monolinguals;202;v;PW;b__202_PW_viteuil;;viteuil;7.035399932000001;123.99093;167.28057700000005;M;False
213;213;French;Monolinguals;202;v;PW;b__202_PW_vobur;;vobur;2.87275465;127.46031699999999;170.46447700000004;M;False
214;214;French;Monolinguals;202;v;PW;b__202_PW_vodais;;vodais;4.0480916910000015;116.9161;176.58553500000005;M;False
215;215;French;Monolinguals;202;v;PW;b__202_PW_voissule;;voissule;2.718363118;186.712018;191.70068;M;False
216;216;French;Monolinguals;202;v;PW;b__202_PW_voûle;;voûle;3.040512214;102.970522;156.520014;M;False
217;217;French;Monolinguals;202;v;PW;b__202_PW_vèbe;;vèbe;3.853286167;125.895692;130.884354;M;False
218;218;French;Monolinguals;202;v;PW;b__202_PW_vô;;vô;3.230199765;175.73696100000004;336.440847;M;False
219;219;French;Monolinguals;202;v;reading;b__202_read_vaisseau;;vaisseau;5.670149827;44.013605;107.9243;M;False
220;220;French;Monolinguals;202;v;reading;b__202_read_valet;;valet;4.927162462;74.345602;127.593127;M;False
221;221;French;Monolinguals;202;v;reading;b__202_read_valise;;valise;5.757243547000001;50.29478500000001;55.283447;M;False
222;222;French;Monolinguals;202;v;reading;b__202_read_vase;;vase;4.871548641;109.863946;131.963745;M;False
223;223;French;Monolinguals;202;v;reading;b__202_read_vautour;;vautour;2.365216895;132.341183;137.329845;M;False
224;224;French;Monolinguals;202;v;reading;b__202_read_veau;;veau;2.069480999;146.28584999999995;151.27451200000004;M;False
225;225;French;Monolinguals;202;v;reading;b__202_read_veilleuse;;veilleuse;11.57385923;56.281179;102.960093;M;False
226;226;French;Monolinguals;202;v;reading;b__202_read_ver;;ver;5.120768462;74.376417;116.911956;M;False
227;227;French;Monolinguals;202;v;reading;b__202_read_verrou;;verrou;3.930932046;106.992137;117.03884;M;False
228;228;French;Monolinguals;202;v;reading;b__202_read_veste;;veste;9.187396899;38.321995;85.04517699999998;M;False
229;229;French;Monolinguals;202;v;reading;b__202_read_viande;;viande;10.87625143;81.72335600000002;105.348329;M;False
230;230;French;Monolinguals;202;v;reading;b__202_read_vide;;vide;5.080395641;74.67120200000002;147.27688700000004;M;False
231;231;French;Monolinguals;202;v;reading;b__202_read_village;;village;5.2498538560000005;22.370941;34.426984000000004;M;False
232;232;French;Monolinguals;202;v;reading;b__202_read_ville;;ville;3.915547246;97.346939;122.915517;M;False
233;233;French;Monolinguals;202;v;reading;b__202_read_visage;;visage;5.25806329;84.60317500000002;100.894942;M;False
234;234;French;Monolinguals;202;v;reading;b__202_read_vitrine;;vitrine;18.13492139;14.065383999999998;44.205493;M;False
